FULL NAME,TEAM,WingSpan(cm),POS,AGE,GP,MPG,MIN%Minutes Percentage,USG%Usage Rate,TO%Turnover Rate,FTA,FT,FT%,2PA,2P,2P%,3PA,3P,3P%,eFG,eFG%Effective Shooting Percentage,TS,TS%True Shooting Percentage,PPGPoints per game.,RPGRebounds per game.,TRB%Total Rebound Percentage,APGAssists per game.,Assist Percentage,SPGSteals per game.,BPGBlocks per game.,TOPGTurnovers per game.,VI,ORTG,DRTG
Jordan Nwora,Mil,208.92,F,22.69,30,9.1,19,26,14.1,25,76,0.76,73,46.6,0.466,62,45.2,0.452,56.3,0.563,58.6,0.586,5.7,2,11.5,0.2,3.6,0.53,0.23,0.8,5.8,101.7,103.6
Semi Ojeleye,Bos,207.65,F,26.45,56,17,35.3,11.6,8.2,32,75,0.75,63,49.2,0.492,158,36.7,0.367,53.4,0.534,55.3,0.553,4.6,2.6,8.6,0.7,5.1,0.3,0,0.38,4.8,113.9,111.8
Jahlil Okafor,Det,226.06,C-F,25.42,27,12.9,26.8,16.7,15.8,24,70.8,0.708,92,66.3,0.663,9,22.2,0.222,63.4,0.634,65,0.65,5.4,2.4,10.4,0.5,6.1,0.22,0.19,0.78,5.8,113.7,105.2
Chuma Okeke,Orl,213.36,F,22.75,45,25.2,52.4,14.5,10,40,75,0.75,183,47,0.47,141,34.8,0.348,49.2,0.492,51.1,0.511,7.8,4,8.3,2.2,13.2,1.07,0.51,0.84,6.5,106.5,112.6
Josh Okogie,Min,213.36,G,22.71,59,20.3,42.3,12.1,12.5,108,76.9,0.769,146,50,0.5,108,26.9,0.269,45.9,0.459,52.4,0.524,5.4,2.6,7.1,1.1,7,0.92,0.47,0.73,4.9,108.4,109
Onyeka Okongwu,Atl,218.44,F-C,20.43,50,12,25.1,14.7,14.3,57,63.2,0.632,146,65.8,0.658,3,0,0,64.4,0.644,65.5,0.655,4.6,3.3,14.8,0.4,4.4,0.46,0.66,0.58,6.1,123.6,96.7
Isaac Okoro,Cle,204.47,F-G,20.3,67,32.4,67.6,14.3,12,157,72.6,0.726,345,50.1,0.501,214,29,0.29,47.6,0.476,51.4,0.514,9.6,3.1,5.3,1.9,8.6,0.93,0.36,1.28,4.7,102.5,110.9
KZ Okpala,Mia,217.81,F-G,22.05,37,12.1,25.2,11.9,12.8,15,53.3,0.533,46,52.2,0.522,50,24,0.24,43.8,0.438,44.8,0.448,2.5,1.8,8.7,0.5,5.8,0.27,0.3,0.41,4.3,94,101.3
Victor Oladipo,Ind,206.38,G,29.03,9,33.3,69.3,26.5,9.7,37,73,0.73,83,47,0.47,69,36.2,0.362,50.3,0.503,53.5,0.535,20,5.7,9.2,4.2,18.7,1.67,0.22,2,9.4,104.1,107.3
Victor Oladipo,Hou,206.38,G,29.03,20,33.5,69.7,29.8,10.9,83,78.3,0.783,228,46.5,0.465,153,32,0.32,47.1,0.471,50.8,0.508,21.2,4.8,7.6,5,25.3,1.2,0.5,2.55,9.5,100.3,111.6
Victor Oladipo,Mia,206.38,G,29.03,4,27.8,57.9,26.3,21.6,18,66.7,0.667,26,46.2,0.462,17,23.5,0.235,41.9,0.419,47.1,0.471,12,3.5,7.2,3.5,18.8,1.75,0.5,3.5,7.6,85.9,100.5
Cameron Oliver,Hou,216.54,F,20,4,21.9,45.5,18.4,7.9,4,25,0.25,20,75,0.75,13,30.8,0.308,63.6,0.636,61.9,0.619,10.8,5.3,12.8,1.3,9.5,0.5,1,0.75,7.7,117.4,104.6
Kelly Olynyk,Mia,207.65,F-C,30.08,43,26.9,56,17.5,12.3,40,77.5,0.775,134,63.4,0.634,242,31.8,0.318,53.3,0.533,54.9,0.549,10,6.1,12.9,2.1,11.7,0.93,0.6,1.28,7.5,105.6,101
Kelly Olynyk,Hou,207.65,F-C,30.08,27,31.1,64.8,22.9,15.7,135,84.4,0.844,196,64.3,0.643,125,39.2,0.392,62.1,0.621,67.4,0.674,19,8.4,14.5,4.1,21.9,1.44,0.59,2.63,11.2,123.1,105
Royce O'Neale,Uta,205.74,F,27.95,71,31.6,65.7,9.6,16.7,46,84.8,0.848,116,58.6,0.586,278,38.5,0.385,58,0.58,59.9,0.599,7,6.8,11.5,2.5,10.4,0.8,0.45,1.17,6.2,120,102.1
Miye Oni,Uta,210.19,G-F,23.78,54,9.6,20,9.8,13.6,6,83.3,0.833,11,45.5,0.455,88,34.1,0.341,50.5,0.505,51.7,0.517,1.9,1.6,8.6,0.5,6.8,0.2,0.15,0.3,4.8,109.7,100
Cedi Osman,Cle,210.82,F,26.11,59,25.6,53.3,20.4,11.3,95,80,0.8,262,45.8,0.458,324,30.6,0.306,45.8,0.458,48.8,0.488,10.4,3.4,7.4,2.9,17.7,0.9,0.15,1.36,7.3,100.2,110
Daniel Oturu,Lac,218.44,C,21.66,30,5.4,11.2,18.3,13.6,12,75,0.75,47,44.7,0.447,5,20,0.2,43.3,0.433,47.1,0.471,1.8,1.6,16.8,0.3,8.5,0.17,0.23,0.3,7.1,105.5,97.1
Kelly Oubre Jr.,Gol,219.08,F-G,25.44,55,30.7,63.9,22.1,8,177,69.5,0.695,439,51.9,0.519,285,31.6,0.316,50.1,0.501,52.9,0.529,15.4,6,10.4,1.3,6.5,1.04,0.76,1.27,6.4,103.3,106.8
Jabari Parker,Sac,212.73,F,26.17,3,9.1,19,15.8,30,0,0,0,6,66.7,0.667,1,0,0,57.1,0.571,57.1,0.571,2.7,2,12.2,0.3,5,0,0.33,1,5.2,82.7,105.6
Jabari Parker,Bos,212.73,F,26.17,10,13.8,28.8,18.9,11.5,13,76.9,0.769,38,63.2,0.632,10,20,0.2,56.3,0.563,59.6,0.596,6.4,3.6,14.5,1,10.8,0.1,0.4,0.7,8.2,117.6,109.7
Eric Paschall,Gol,212.73,F,24.53,40,17.4,36.2,23.5,11.2,94,71.3,0.713,244,53.3,0.533,54,33.3,0.333,52.7,0.527,56.1,0.561,9.5,3.2,9.8,1.3,11.4,0.3,0.18,1.08,7.8,105.6,105.1
Anzejs Pasecniks,Was,213.36,C-F,25.41,1,6.3,13.1,39.4,83.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8.4,1,17.8,0,0,5,0,20.7,88.8
Patrick Patterson,Lac,218.44,F,32.18,38,15.3,31.9,14,6,17,76.5,0.765,53,60.4,0.604,112,35.7,0.357,55.8,0.558,57.1,0.571,5.2,2,7.3,0.8,6.7,0.37,0.21,0.29,5.3,118.5,107.7
Justin Patton,Hou,220.98,C,23.92,13,19,39.5,13.1,5.3,4,75,0.75,36,55.6,0.556,34,26.5,0.265,47.9,0.479,48.8,0.488,5.4,3.8,10.6,1.1,8.1,0.92,1.08,0.31,5.9,108,102.8
Chris Paul,Pho,193.04,G,36.03,70,31.4,65.5,22.6,14,181,93.4,0.934,621,54.3,0.543,258,39.5,0.395,55.7,0.557,59.9,0.599,16.4,4.4,8,8.9,40.8,1.43,0.26,2.23,11,123.7,106
Cameron Payne,Pho,201.3,G,26.77,60,18,37.5,19.8,12.5,56,89.3,0.893,229,51.5,0.515,166,44,0.44,57.6,0.576,60.2,0.602,8.4,2.4,7.6,3.6,28.1,0.6,0.27,1,9.3,121.3,105.5
Gary Payton II,Gol,203.2,G,28.46,10,4,8.4,16.7,6.3,4,75,0.75,9,88.9,0.889,4,50,0.5,84.6,0.846,84.7,0.847,2.5,1.1,14.5,0.1,4,0.6,0.1,0.1,6.5,152.6,83.7
Elfrid Payton,Nyk,203.2,G,27.23,63,23.6,49.1,23.2,13.3,107,68.2,0.682,524,46,0.46,98,28.6,0.286,45.5,0.455,47.8,0.478,10.1,3.4,7.9,3.2,21.6,0.75,0.14,1.63,8.1,98.9,104.6
Norvel Pelle,Bro,223.52,C,28.28,3,9.3,19.3,15.7,30,0,0,0,7,42.9,0.429,0,0,0,42.9,0.429,42.9,0.429,2,2.3,13.9,0,0,0,1,1,0,75.8,83.2
Norvel Pelle,Sac,223.52,C,28.28,1,3.8,7.9,31.3,0,4,75,0.75,1,0,0,0,0,0,0,0,54.3,0.543,3,1,14.6,1,29.7,0,0,0,15.2,,
Norvel Pelle,Nyk,223.52,C,28.28,9,5.8,12,6.8,0,2,50,0.5,7,71.4,0.714,0,0,0,71.4,0.714,69.8,0.698,1.2,1.2,11.5,0.1,2.7,0.11,0.67,0,3.6,149.8,103.1
Reggie Perry,Bro,214.63,F-C,21.15,26,8.1,16.9,20.4,15.2,13,76.9,0.769,57,49.1,0.491,21,19,0.19,43.6,0.436,46.6,0.466,3,2.8,19.1,0.5,9,0.23,0.23,0.58,8,100.3,94.2
Theo Pinson,Nyk,210.19,G-F,25.53,17,2,4.2,13.1,10,0,0,0,1,100,1,8,0,0,11.1,0.111,11.1,0.111,0.1,0.3,8,0.1,3.7,0,0,0.06,2.9,,
Mason Plumlee,Det,210.82,F-C,31.2,56,26.8,55.8,16.3,18.8,169,66.9,0.669,373,62.7,0.627,7,0,0,61.6,0.616,63.9,0.639,10.4,9.3,19.3,3.6,21,0.77,0.89,1.88,10.5,122.2,99.7
Jakob Poeltl,San,220.35,C,25.59,69,26.7,55.7,13.4,14.8,124,50.8,0.508,430,61.6,0.616,0,0,0,61.6,0.616,61.2,0.612,8.6,7.9,15.8,1.9,10.1,0.68,1.78,1.22,7.6,123.1,105.3
Vincent Poirier,Phi,220.98,C-F,27.58,10,3.9,8.1,19.4,17,6,33.3,0.333,11,27.3,0.273,1,0,0,25,0.25,27.3,0.273,0.8,1.3,18.3,0.2,6.6,0,0.3,0.3,6.1,,
Aleksej Pokusevski,Okc,220.98,C,19.39,45,24.2,50.5,20.5,18.8,42,73.8,0.738,201,40.3,0.403,207,28,0.28,41.2,0.412,43,0.43,8.2,4.7,10.2,2.2,13.1,0.44,0.93,2.2,7.3,81,111.7
Jordan Poole,Gol,200.03,G,21.91,51,19.4,40.4,25,8.8,119,88.2,0.882,198,54.5,0.545,276,35.1,0.351,53.5,0.535,58.1,0.581,12,1.8,5,1.9,15.4,0.51,0.18,1,7.1,111.2,107.7
Kevin Porter Jr.,Hou,205.74,G-F,21.03,26,32.1,66.9,25.4,18.2,94,73.4,0.734,206,51.5,0.515,161,31.1,0.311,49.3,0.493,52.8,0.528,16.6,3.8,6.3,6.3,31.2,0.73,0.31,3.5,9.2,100.7,112.8
Michael Porter Jr.,Den,213.36,F,22.88,61,31.3,65.3,21.8,8.2,134,79.1,0.791,435,62.8,0.628,382,44.5,0.445,64.6,0.646,66.3,0.663,19,7.3,13.2,1.1,5.6,0.66,0.89,1.28,6.8,124.6,108.5
Otto Porter Jr.,Chi,217.17,F,27.95,25,21.6,45,19.5,10.3,37,83.8,0.838,107,47.7,0.477,95,40,0.4,53.5,0.535,56.6,0.566,9.9,5.5,14.2,2,13.1,0.48,0.16,1,8.8,113.6,107.6
Otto Porter Jr.,Orl,217.17,F,27.95,3,22.2,46.2,17.7,0,5,100,1,16,50,0.5,9,11.1,0.111,38,0.38,44.1,0.441,8,4.7,10.9,1.7,11.4,1.33,0,0,7.2,101.2,107.2
Jontay Porter,Mem,214,C-F,21.5,11,4.9,10.2,18.9,28.9,5,60,0.6,7,71.4,0.714,8,37.5,0.375,63.3,0.633,64,0.64,2,1.3,13.7,0.1,2.5,0.27,0.09,0.64,5.2,92.2,88.5
Bobby Portis,Mil,218.44,F,26.26,66,20.8,43.3,21,8.1,73,74,0.74,442,54.1,0.541,157,47.1,0.471,58.4,0.584,59.7,0.597,11.4,7.1,17.9,1.1,7.4,0.79,0.39,0.85,8.6,120,103
Kristaps Porzingis,Dal,228.6,F-C,25.79,43,30.9,64.3,26.5,6.4,138,85.5,0.855,425,53.6,0.536,258,37.6,0.376,54.7,0.547,58.2,0.582,20.1,8.9,15.8,1.6,8.4,0.47,1.35,1.19,8.5,116.7,105.3
Dwight Powell,Dal,214.63,F-C,29.83,58,16.6,34.7,13.2,13.9,124,78.2,0.782,173,66.5,0.665,21,23.8,0.238,63.1,0.631,68.8,0.688,5.9,4.1,13.5,1.1,8.9,0.6,0.52,0.69,7.2,135.6,99.8
Norman Powell,Tor,210.19,G,27.98,42,30.4,63.4,24.2,10.8,163,86.5,0.865,297,55.2,0.552,269,43.9,0.439,60.2,0.602,64.5,0.645,19.6,3,5.4,1.8,10,1.12,0.19,1.83,6.2,117.1,110.5
Norman Powell,Por,210.19,G,27.98,27,34.4,71.6,20.5,9.7,108,88,0.88,205,50.2,0.502,147,36.1,0.361,51.8,0.518,57.6,0.576,17,3.3,5.1,1.9,8.1,1.3,0.37,1.59,5.5,113.4,113.6
Taurean Prince,Bro,212.09,F,27.15,12,18.2,37.8,19.4,11.4,27,88.9,0.889,37,45.9,0.459,37,35.1,0.351,49.3,0.493,56.5,0.565,8.1,2.8,8.6,0.6,4.3,0.67,0.67,0.92,5.2,105,106
Taurean Prince,Cle,212.09,G,27.15,29,23.7,49.4,19.7,11.6,49,83.7,0.837,135,38.5,0.385,118,41.5,0.415,49.6,0.496,53.2,0.532,10.1,3.7,8.8,2.4,15.4,0.69,0.52,1.24,7.6,105.6,109.7
Payton Pritchard,Bos,193.04,G,23.3,66,19.2,40,16.7,10.8,45,88.9,0.889,170,48.2,0.482,248,41.1,0.411,56.2,0.562,58.2,0.582,7.7,2.4,6.9,1.8,13.3,0.56,0.14,0.8,6.7,116.3,109.1
Immanuel Quickley,Nyk,203.84,G,21.92,64,19.4,40.5,25.6,8.1,174,89.1,0.891,277,40.1,0.401,303,38.9,0.389,49.7,0.497,55.7,0.557,11.4,2.1,6,2,16.2,0.47,0.19,0.91,7.5,113.4,103.9
Jahmi'us Ramsey,Sac,198.12,G,19.94,13,7.3,15.1,19.7,6.9,5,100,1,19,52.6,0.526,19,26.3,0.263,46.1,0.461,49.8,0.498,3.1,0.8,5.9,0.5,8.7,0.31,0.08,0.23,5.9,102,112.7
Chasson Randle,Orl,190.5,G,28.28,41,20.4,42.5,15.7,15.1,48,79.2,0.792,107,44.9,0.449,130,33.8,0.338,48.1,0.481,51.5,0.515,6.5,2,5.1,1.8,12.9,0.56,0.12,1.12,5.6,97.8,110.7
Julius Randle,Nyk,213.36,F-C,26.46,71,37.6,78.2,29.3,13.7,429,81.1,0.811,933,47.4,0.474,389,41.1,0.411,51.6,0.516,56.7,0.567,24.1,10.2,14.7,6,27.2,0.9,0.25,3.38,12.1,110.9,100.3
Cam Reddish,Atl,214.63,F-G,21.71,26,28.9,60.1,19.3,10.2,82,81.7,0.817,137,46,0.46,126,26.2,0.262,42.8,0.428,48.8,0.488,11.2,4,7.6,1.3,6.5,1.27,0.35,1.31,5.4,99.1,106.2
JJ Redick,Nor,190.5,G,36.89,31,18.6,38.8,18.9,9.6,47,95.7,0.957,74,48.6,0.486,140,36.4,0.364,52.6,0.526,57.5,0.575,8.7,1.7,4.9,1.3,9.5,0.29,0.06,0.81,5.8,112.5,112.1
JJ Redick,Dal,190.5,G,36.89,13,11.3,23.5,19.9,16.6,5,80,0.8,15,26.7,0.267,38,39.5,0.395,50,0.5,51.6,0.516,4.4,0.9,4.5,0.8,10.3,0.15,0.08,0.85,5.2,93.2,109.6
Paul Reed,Phi,217.17,F,21.92,26,6.8,14.2,22.7,12.8,8,50,0.5,72,58.3,0.583,6,0,0,53.8,0.538,54,0.54,3.4,2.3,18.9,0.5,10.9,0.38,0.5,0.46,9.3,110.7,91.8
Naz Reid,Min,221.62,C-F,21.72,70,19.2,40.1,22.5,9.5,166,69.3,0.693,407,59.7,0.597,174,35.1,0.351,57.6,0.576,59.9,0.599,11.2,4.6,12.9,1,8.7,0.49,1.07,0.99,7.8,114.3,104.2
Cameron Reynolds,San,215.9,F,26.27,3,2.1,4.3,14,0,0,0,0,2,50,0.5,0,0,0,50,0.5,50,0.5,0.7,0,0,0,0,0,0,0,0,,
Cameron Reynolds,Hou,215.9,F,26.27,2,17.2,35.7,19.8,0,0,0,0,4,50,0.5,12,25,0.25,40.6,0.406,40.6,0.406,6.5,2.5,7.8,1,8.7,0,0,0,5.9,95,116
Nick Richards,Cha,219.08,C,23.46,18,3.5,7.2,11.6,17.8,11,63.6,0.636,8,50,0.5,1,0,0,44.4,0.444,54.2,0.542,0.8,0.6,9.5,0.1,4.2,0,0,0.17,4.2,,
Josh Richardson,Dal,208.28,G,27.67,59,30.3,63.2,18.4,10.6,108,91.7,0.917,351,50.1,0.501,267,33,0.33,49.8,0.498,53.7,0.537,12.1,3.3,6,2.6,12.1,1.03,0.41,1.34,6.2,108.6,109.9
Grant Riller,Cha,196.22,G,24.27,7,3.9,8.1,20.6,7.7,0,0,0,8,75,0.75,4,50,0.5,75,0.75,75,0.75,2.6,0.1,2,0.4,20.6,0.14,0,0.14,4.8,,
Austin Rivers,Nyk,201.3,G,28.79,21,21.1,43.9,16.5,13.5,14,71.4,0.714,58,51.7,0.517,77,36.4,0.364,53.3,0.533,54.5,0.545,7.3,2.2,5.8,2,13.9,0.57,0,1.05,6,105.2,105.8
Austin Rivers,Den,201.3,G,28.79,15,26.9,56,14.2,10.6,17,70.6,0.706,38,50,0.5,72,37.5,0.375,54.1,0.541,55.8,0.558,8.7,2.3,4.9,2.6,12.5,1.2,0.13,0.93,5.6,112.7,108.2
Andre Roberson,Bro,218.44,G-F,29.45,5,12.6,26.2,11.7,11.8,2,50,0.5,6,16.7,0.167,8,12.5,0.125,17.9,0.179,20.2,0.202,1.2,3,13.2,0.8,7.4,0.6,0.2,0.4,4.5,78.5,109.5
Glenn Robinson III,Sac,205.74,F,27.35,23,16.1,33.5,14,9.2,23,91.3,0.913,55,47.3,0.473,44,36.4,0.364,50.5,0.505,55.4,0.554,5.3,2,6.8,0.9,7,0.17,0.13,0.48,5.3,112.1,116.8
Duncan Robinson,Mia,200.66,F,27.07,72,31.4,65.4,16.6,9.7,75,82.7,0.827,104,62.5,0.625,613,40.8,0.408,61.4,0.614,62.8,0.628,13.1,3.5,6.3,1.8,8.3,0.6,0.28,1.13,5.5,112.8,107.4
Jerome Robinson,Was,201.3,G,24.23,17,17.9,37.4,16.7,15.5,20,80,0.8,53,32.1,0.321,42,26.2,0.262,35.3,0.353,40,0.4,4.9,2.2,6.6,1.5,10.2,0.71,0.35,1.12,5.7,80.3,106
Justin Robinson,Okc,186.06,G,23.6,9,9.8,20.3,12.2,7.9,5,60,0.6,7,42.9,0.429,14,28.6,0.286,42.9,0.429,45.3,0.453,2.3,0.8,4.1,1,14.1,0.33,0,0.22,5,102,106.8
Mitchell Robinson,Nyk,223.52,C-F,23.13,31,27.5,57.3,11.8,11.5,53,49.1,0.491,176,65.3,0.653,0,0,0,65.3,0.653,64.2,0.642,8.3,8.1,16,0.5,2.9,1.13,1.45,0.84,4.7,130.5,99.5
Isaiah Roby,Okc,215.9,F,23.28,61,23.4,48.7,17.7,19,117,74.4,0.744,320,54.7,0.547,109,29.4,0.294,52,0.52,55.5,0.555,8.7,5.6,12.4,1.8,11.4,0.85,0.61,1.85,7.6,101.4,103.8
Rajon Rondo,Atl,204.47,G,35.23,27,14.9,31,16.2,26,2,50,0.5,65,41.5,0.415,45,37.8,0.378,47.7,0.477,47.8,0.478,3.9,2,7.5,3.5,32.2,0.7,0.07,1.44,8.1,97.5,108.6
Rajon Rondo,Lac,204.47,G,35.23,18,20.4,42.6,18.3,26.4,15,100,1,61,52.5,0.525,44,43.2,0.432,57.6,0.576,60.9,0.609,7.6,3.1,8.4,5.8,38.6,0.94,0.11,2.22,10.1,118,105.9
Derrick Rose,Det,203.2,G,32.61,15,22.8,47.4,30.1,12.3,50,84,0.84,145,45.5,0.455,39,33.3,0.333,46.5,0.465,51.7,0.517,14.2,1.9,4.7,4.2,32.5,1.2,0.27,1.93,8.5,103.8,111.4
Derrick Rose,Nyk,203.2,G,32.61,35,26.8,55.8,24.3,9.6,77,88.3,0.883,337,50.7,0.507,90,41.1,0.411,53,0.53,56.5,0.565,14.9,2.9,5.8,4.2,26.3,0.89,0.43,1.4,8.5,115.1,109
Terrence Ross,Orl,201.3,G-F,30.28,46,29.3,61,24.1,9.7,138,87,0.87,352,46.9,0.469,264,33.7,0.337,48.5,0.485,53,0.53,15.6,3.4,6.1,2.4,13.4,1.02,0.46,1.59,6.9,103,111
Terry Rozier,Cha,203.84,G,27.17,69,34.5,72,24.4,9.5,202,81.7,0.817,562,51.2,0.512,571,38.9,0.389,54.8,0.548,57.6,0.576,20.4,4.4,6.9,4.2,20,1.25,0.38,1.87,8.4,113.3,111.8
Ricky Rubio,Min,205.74,G,30.57,68,26.1,54.3,16,16.4,150,86.7,0.867,284,44.7,0.447,214,30.8,0.308,45.4,0.454,51.6,0.516,8.6,3.3,6.8,6.4,33.3,1.46,0.06,1.63,8.7,113.1,110.1
D'Angelo Russell,Min,207.65,G,25.23,42,28.5,59.3,29.1,13.5,149,76.5,0.765,342,47.1,0.471,310,38.7,0.387,52.3,0.523,55.5,0.555,19,2.6,5,5.8,33.7,1.07,0.43,2.67,9.3,108,114.4
Domantas Sabonis,Ind,210.82,F-C,25.04,62,36,75,24.1,16.9,328,73.2,0.732,742,58.2,0.582,162,32.1,0.321,56.4,0.564,60.1,0.601,20.3,12,18,6.7,27.5,1.23,0.53,3.44,13.1,115.1,103.7
Luka Samanic,San,210.82,F,21.35,33,9.3,19.5,19.4,14.5,29,55.2,0.552,62,56.5,0.565,43,27.9,0.279,50.5,0.505,51.8,0.518,3.7,2.1,11.7,0.5,6.9,0.24,0.24,0.61,6.8,96.4,100.6
JaKarr Sampson,Ind,213.36,F,28.16,29,10.9,22.7,18.9,10.7,29,65.5,0.655,98,54.1,0.541,15,20,0.2,50.9,0.509,53.3,0.533,4.6,2.7,13.2,0.1,1.8,0.07,0.48,0.52,3.9,103.7,100.5
Dario Saric,Pho,208.28,F-C,27.11,50,17.4,36.3,22.6,12.9,99,84.8,0.848,207,51.2,0.512,135,34.8,0.348,51.6,0.516,56.7,0.567,8.7,3.8,12.4,1.3,10.4,0.6,0.08,1.14,8.1,109,101.9
Tomas Satoransky,Chi,201.3,G,29.55,58,22.5,46.9,15.2,20.9,79,84.8,0.848,210,60.5,0.605,118,35.6,0.356,57.9,0.579,61.6,0.616,7.7,2.4,6,4.7,27.9,0.69,0.24,1.66,7.9,118.4,109.9
Dennis Schroder,Lal,202.57,G,27.67,61,32.1,66.8,22.9,15.8,243,84.8,0.848,548,47.6,0.476,212,33.5,0.335,48.4,0.484,54.3,0.543,15.4,3.5,6,5.8,26.9,1.16,0.21,2.67,8.5,107.1,102.7
Mike Scott,Phi,220.98,F,32.83,51,16.7,34.8,11.9,8.1,12,66.7,0.667,56,41.1,0.411,155,34.2,0.342,48.6,0.486,49.2,0.492,4.2,2.4,7.8,0.8,6.1,0.47,0.27,0.37,4.8,101,103.5
Jay Scrubb,Lac,207.01,G,20.71,4,21.1,43.9,23.8,15.5,5,100,1,27,44.4,0.444,9,22.2,0.222,41.7,0.417,45.8,0.458,8.8,3.5,9.3,0.3,1.7,1,0,1.75,4,81.6,107
Collin Sexton,Cle,201.3,G,22.36,60,35.3,73.4,29.7,11.6,383,81.5,0.815,841,50.8,0.508,264,37.1,0.371,51.9,0.519,57.3,0.573,24.3,3.1,4.9,4.4,22.6,1.05,0.17,2.78,7.8,110.7,112.1
Landry Shamet,Bro,200.03,G,24.18,61,23,47.9,16.7,8.9,78,84.6,0.846,123,46.3,0.463,333,38.7,0.387,54.9,0.549,57.8,0.578,9.3,1.8,4.4,1.6,9.3,0.52,0.16,0.79,5.2,112.5,112.3
Iman Shumpert,Bro,200.66,G,30.89,2,5.5,11.5,19.8,20,0,0,0,1,100,1,3,0,0,25,0.25,25,0.25,1,0.5,5,0,0,0.5,0,0.5,0,55.9,117.4
Pascal Siakam,Tor,221.62,F,27.12,56,35.8,74.6,26.4,10.6,301,82.7,0.827,715,50.9,0.509,246,29.7,0.297,49.3,0.493,54.7,0.547,21.4,7.2,11.1,4.5,20.5,1.14,0.68,2.32,9.9,110.6,107.4
Chris Silva,Mia,210.82,F,24.66,11,7.5,15.7,15.6,31.5,15,73.3,0.733,12,66.7,0.667,1,100,1,73.1,0.731,76.5,0.765,2.7,2.3,17.3,0.5,10.3,0.09,0.45,0.82,7.8,116.9,86.1
Chris Silva,Sac,210.82,F,24.66,4,2.4,4.9,18.1,25,0,0,0,3,33.3,0.333,0,0,0,33.3,0.333,33.3,0.333,0.5,0.5,11.7,0,0,0,0.25,0.25,0,,
Ben Simmons,Phi,214.63,G-F,24.82,58,32.4,67.4,20.2,19.6,287,61.3,0.613,573,56.2,0.562,10,30,0.3,56,0.56,58.4,0.584,14.3,7.2,12.2,6.9,31.3,1.6,0.6,2.98,11,114,100.2
Anfernee Simons,Por,206.38,G,21.94,64,17.3,36,18.3,9.2,57,80.7,0.807,120,40,0.4,281,42.7,0.427,56.9,0.569,58.9,0.589,7.8,2.2,6.8,1.4,11.4,0.28,0.13,0.67,6.7,116.5,111.5
Deividas Sirvydis,Det,200.66,F-G,20.93,20,6.7,13.9,15.6,10.5,6,50,0.5,12,33.3,0.333,28,35.7,0.357,47.5,0.475,48.1,0.481,2.1,1.5,12.1,0.3,5.4,0.1,0,0.25,5.9,90,107.7
Alen Smailagic,Gol,218.44,F,20.74,15,5.6,11.6,17.7,14.4,6,33.3,0.333,17,41.2,0.412,10,40,0.4,48.1,0.481,47.2,0.472,1.9,1.1,10.2,0.3,6.6,0.2,0.33,0.33,6.1,92,100.9
Marcus Smart,Bos,206.38,G,27.2,48,32.9,68.6,18.4,14.2,162,79,0.79,228,48.2,0.482,282,33,0.33,48.9,0.489,53.9,0.539,13.1,3.5,5.9,5.7,23.6,1.5,0.5,2,7.8,113.2,108.7
Dennis Smith Jr.,Nyk,190.5,G,23.47,3,9.2,19.2,22,7.3,6,83.3,0.833,6,33.3,0.333,4,0,0,20,0.2,35.6,0.356,3,0.7,3.9,1,14.6,1,0,0.33,5.6,83.5,92.9
Dennis Smith Jr.,Det,190.5,G,23.47,20,19.6,40.9,18.8,14.8,20,70,0.7,80,46.3,0.463,55,34.5,0.345,48.5,0.485,50.4,0.504,7.3,2.7,7.5,3.7,28.8,1,0.7,1.25,8.5,106,106.6
Ish Smith,Was,195.58,G,32.86,44,21,43.7,15.8,11.6,33,57.6,0.576,248,44.8,0.448,49,36.7,0.367,46.5,0.465,47.3,0.473,6.7,3.4,8.6,3.9,24.7,0.73,0.3,0.93,8.5,105.1,109.1
Jalen Smith,Pho,219.08,F-C,21.17,27,5.8,12,17.2,11.7,7,71.4,0.714,33,54.5,0.545,17,23.5,0.235,48,0.48,49.9,0.499,2,1.4,13.5,0.1,3.4,0.04,0.19,0.26,4.5,96.2,103.7
Tony Snell,Atl,212.09,G,29.52,47,21.1,44,8.6,10.7,11,100,1,62,41.9,0.419,109,56.9,0.569,69.6,0.696,70.8,0.708,5.3,2.4,6.2,1.3,7.9,0.28,0.23,0.45,4.8,134.7,110.2
Ray Spalding,Hou,226.06,F,24.18,2,9.4,19.5,17.9,38.1,2,0,0,3,66.7,0.667,1,0,0,50,0.5,41,0.41,2,2,11.4,0,0,0,1,1.5,0,60.2,104.1
Cassius Stanley,Ind,200.66,G,21.75,24,3.9,8.1,21.9,2.1,9,77.8,0.778,30,33.3,0.333,13,23.1,0.231,33.7,0.337,38.3,0.383,1.5,0.8,11.6,0,1.4,0.04,0.08,0.04,0,,
Lamar Stevens,Cle,205.74,F,23.86,40,12.5,26,15.9,12.7,51,72.5,0.725,111,52.3,0.523,25,16,0.16,47.1,0.471,52.1,0.521,4.1,2.4,10.7,0.6,7.5,0.43,0.33,0.58,5.8,103,106
Isaiah Stewart,Det,225.43,F-C,19.99,68,21.4,44.6,15.5,13,92,69.6,0.696,346,59.2,0.592,63,33.3,0.333,57.8,0.578,59.7,0.597,7.9,6.7,17.3,0.9,6.3,0.56,1.26,0.99,6.8,117,100.8
