FULL NAME,TEAM,WingSpan(cm),POS,AGE,GP,MPG,MIN%Minutes Percentage,USG%Usage Rate,TO%Turnover Rate,FTA,FT,FT%,2PA,2P,2P%,3PA,3P,3P%,eFG,eFG%Effective Shooting Percentage,TS,TS%True Shooting Percentage,PPGPoints per game.,RPGRebounds per game.,TRB%Total Rebound Percentage,APGAssists per game.,Assist Percentage,SPGSteals per game.,BPGBlocks per game.,TOPGTurnovers per game.,VI,ORTG,DRTG
Solomon Hill,Atl,205.74,F,30.16,71,21.3,44.4,10.3,11.7,46,76.1,0.761,85,44.7,0.447,212,32.1,0.321,47.1,0.471,49.6,0.496,4.4,3,7.7,1.1,6.4,0.7,0.15,0.59,4.6,103.5,108.3
Nate Hinton,Dal,203.2,G-F,21.94,21,4.4,9.3,24.3,9.7,10,70,0.7,23,47.8,0.478,19,21.1,0.211,40.5,0.405,44.2,0.442,2,0.4,5.3,0.4,12.3,0.29,0.1,0.24,6.2,90.5,106.3
Jaylen Hoard,Okc,215.9,F,22.13,19,16.8,35,16.3,13.8,41,68.3,0.683,77,57.1,0.571,11,0,0,50,0.5,54.7,0.547,6.1,3.4,10.6,1.3,11.2,0.68,0.26,0.89,7.1,108.8,110.4
Aaron Holiday,Ind,201.93,G,24.63,66,17.8,37.1,19.5,12.3,83,81.9,0.819,254,40.6,0.406,182,36.8,0.368,46.7,0.467,50.3,0.503,7.2,1.3,4.1,1.9,14.1,0.7,0.2,1,5.9,98.6,110.7
Jrue Holiday,Mil,203.2,G,30.93,59,32.3,67.3,22.2,12.6,136,78.7,0.787,540,56.1,0.561,283,39.2,0.392,57,0.57,59.2,0.592,17.7,4.5,7.4,6.1,26.3,1.64,0.63,2.15,9.7,119.9,109.2
Justin Holiday,Ind,212.09,F-G,32.12,72,30.3,63.2,14,7.5,85,78.8,0.788,172,49.4,0.494,453,38.2,0.382,55.1,0.551,57.1,0.571,10.5,3.6,6.4,1.7,7.1,1.03,0.57,0.75,5.3,111.3,111.7
Rondae Hollis-Jefferson,Por,218.44,F,26.37,11,9.8,20.3,10.8,7.4,16,56.3,0.563,17,52.9,0.529,1,0,0,50,0.5,53.9,0.539,2.5,2.4,12.9,1.2,15.6,0.18,0.36,0.18,7.9,134.5,104.7
Richaun Holmes,Sac,217.17,F,27.59,61,29.2,60.8,17.5,10.3,170,79.4,0.794,564,64.5,0.645,11,18.2,0.182,63.8,0.638,66.9,0.669,14.2,8.3,15.7,1.7,8.3,0.64,1.56,1.23,8,129.5,106.7
Rodney Hood,Por,204.47,G-F,28.57,38,19.1,39.8,14.1,13.1,12,75,0.75,117,41,0.41,84,29.8,0.298,42.5,0.425,43.6,0.436,4.7,1.9,5.4,1.2,8.5,0.53,0.11,0.82,4.6,91.1,112.5
Rodney Hood,Tor,204.47,G-F,28.57,17,12.7,26.5,14.2,7,16,93.8,0.938,30,40,0.4,29,31,0.31,43.2,0.432,50,0.5,3.9,1.8,7.6,0.4,3.8,0.24,0.18,0.29,4.4,102.8,111.5
Al Horford,Okc,215.27,C-F,34.95,28,27.9,58.2,21.6,7.3,22,81.8,0.818,208,51,0.51,152,36.8,0.368,52.8,0.528,53.8,0.538,14.2,6.7,12.5,3.4,20.1,0.89,0.93,1.04,9.8,111.2,109
Talen Horton-Tucker,Lal,216.54,G,20.47,65,20.1,41.8,21.7,16.3,129,77.5,0.775,357,52.4,0.524,131,28.2,0.282,49.7,0.497,53.7,0.537,9,2.6,7.3,2.8,20.8,0.97,0.32,1.63,8,102.6,99.7
Danuel House Jr.,Hou,203.2,F-G,27.94,36,25.9,54,15.3,10.7,63,65.1,0.651,116,48.3,0.483,156,34.6,0.346,50.4,0.504,52.5,0.525,8.8,3.7,7.5,1.9,10.6,0.58,0.44,1,6.1,103.7,112.2
Dwight Howard,Phi,224.79,C-F,35.44,69,17.3,36.1,18.3,22.1,210,57.6,0.576,283,61.1,0.611,20,25,0.25,59.6,0.596,61,0.61,7,8.4,26.7,0.9,7.2,0.43,0.9,1.62,8.7,112.3,89.3
Markus Howard,Den,183.52,G,22.21,37,5.5,11.5,27.2,14.1,9,77.8,0.778,41,53.7,0.537,65,27.7,0.277,46.2,0.462,47.7,0.477,2.8,0.6,5.8,0.5,12.6,0.11,0.03,0.49,6.9,89,105.6
Kevin Huerter,Atl,201.93,G-F,22.72,69,30.8,64.2,17.2,9.4,64,78.1,0.781,345,51,0.51,386,36.3,0.363,52.8,0.528,54.1,0.541,11.9,3.3,5.9,3.5,16.3,1.19,0.26,1.14,6.7,112.1,108.5
Elijah Hughes,Uta,201.93,G,23.19,18,3.5,7.4,25.6,15.9,4,75,0.75,7,28.6,0.286,23,34.8,0.348,46.7,0.467,48.8,0.488,1.7,0.5,7.5,0.3,13.5,0.06,0.06,0.33,7.2,,
De'Andre Hunter,Atl,218.44,F-G,23.46,23,29.5,61.4,20.2,9.2,85,85.9,0.859,153,58.2,0.582,95,32.6,0.326,54.6,0.546,60.3,0.603,15,4.8,8.9,1.9,9.7,0.83,0.52,1.26,7,118.4,106.8
Chandler Hutchison,Chi,215.9,F-G,25.06,7,9.1,18.9,16.3,20.9,2,100,1,15,26.7,0.267,3,33.3,0.333,30.6,0.306,34.4,0.344,1.9,2.9,17.4,0.6,7.9,0.14,0,0.71,6.5,67.1,97.5
Chandler Hutchison,Was,215.9,F-G,25.06,18,15.7,32.7,16.1,13.6,23,82.6,0.826,66,40.9,0.409,19,36.8,0.368,44.1,0.441,49.4,0.494,5.2,3.2,10.9,0.7,6,0.61,0.28,0.83,5.8,93.2,105.8
Serge Ibaka,Lac,220.98,F,31.66,41,23.3,48.5,20.1,10.2,53,81.1,0.811,250,58.8,0.588,115,33.9,0.339,56.3,0.563,58.5,0.585,11.1,6.7,16.2,1.8,11.5,0.22,1.15,1.07,8.8,118.4,105.3
